Freq.	V(vo)
1.32396993108846e+002	(-1.74398389438938e-001dB,-1.16809166242282e+001°)
1.32701894446257e+002	(-1.75190407937103e-001dB,-1.17072470312910e+001°)
1.33007497950866e+002	(-1.75985968792764e-001dB,-1.17336342393708e+001°)
1.33313805239714e+002	(-1.76785087361419e-001dB,-1.17600783539537e+001°)
1.33620817933572e+002	(-1.77587779060838e-001dB,-1.17865794806076e+001°)
1.33928537656937e+002	(-1.78394059371218e-001dB,-1.18131377249805e+001°)
1.34236966038053e+002	(-1.79203943835437e-001dB,-1.18397531928006e+001°)
1.34546104708909e+002	(-1.80017448059243e-001dB,-1.18664259898747e+001°)
1.34855955305255e+002	(-1.80834587711500e-001dB,-1.18931562220881e+001°)
1.35166519466607e+002	(-1.81655378524366e-001dB,-1.19199439954032e+001°)
1.35477798836258e+002	(-1.82479836293544e-001dB,-1.19467894158590e+001°)
1.35789795061283e+002	(-1.83307976878467e-001dB,-1.19736925895703e+001°)
1.36102509792553e+002	(-1.84139816202545e-001dB,-1.20006536227267e+001°)
1.36415944684738e+002	(-1.84975370253362e-001dB,-1.20276726215919e+001°)
1.36730101396321e+002	(-1.85814655082899e-001dB,-1.20547496925028e+001°)
1.37044981589603e+002	(-1.86657686807754e-001dB,-1.20818849418685e+001°)
1.37360586930714e+002	(-1.87504481609362e-001dB,-1.21090784761698e+001°)
1.37676919089620e+002	(-1.88355055734201e-001dB,-1.21363304019580e+001°)
1.37993979740133e+002	(-1.89209425494033e-001dB,-1.21636408258541e+001°)
1.38311770559920e+002	(-1.90067607266104e-001dB,-1.21910098545482e+001°)
1.38630293230512e+002	(-1.90929617493371e-001dB,-1.22184375947982e+001°)
1.38949549437312e+002	(-1.91795472684728e-001dB,-1.22459241534289e+001°)
1.39269540869605e+002	(-1.92665189415213e-001dB,-1.22734696373316e+001°)
1.39590269220564e+002	(-1.93538784326243e-001dB,-1.23010741534627e+001°)
1.39911736187264e+002	(-1.94416274125820e-001dB,-1.23287378088430e+001°)
1.40233943470687e+002	(-1.95297675588779e-001dB,-1.23564607105566e+001°)
1.40556892775733e+002	(-1.96183005556977e-001dB,-1.23842429657502e+001°)
1.40880585811227e+002	(-1.97072280939531e-001dB,-1.24120846816320e+001°)
1.41205024289930e+002	(-1.97965518713045e-001dB,-1.24399859654707e+001°)
1.41530209928547e+002	(-1.98862735921829e-001dB,-1.24679469245948e+001°)
1.41856144447738e+002	(-1.99763949678117e-001dB,-1.24959676663913e+001°)
1.42182829572124e+002	(-2.00669177162303e-001dB,-1.25240482983050e+001°)
1.42510267030298e+002	(-2.01578435623148e-001dB,-1.25521889278374e+001°)
1.42838458554834e+002	(-2.02491742378005e-001dB,-1.25803896625455e+001°)
1.43167405882295e+002	(-2.03409114813077e-001dB,-1.26086506100414e+001°)
1.43497110753246e+002	(-2.04330570383595e-001dB,-1.26369718779907e+001°)
1.43827574912257e+002	(-2.05256126614066e-001dB,-1.26653535741116e+001°)
1.44158800107917e+002	(-2.06185801098508e-001dB,-1.26937958061741e+001°)
1.44490788092843e+002	(-2.07119611500648e-001dB,-1.27222986819991e+001°)
1.44823540623687e+002	(-2.08057575554177e-001dB,-1.27508623094565e+001°)
1.45157059461146e+002	(-2.08999711062959e-001dB,-1.27794867964655e+001°)
1.45491346369973e+002	(-2.09946035901263e-001dB,-1.28081722509922e+001°)
1.45826403118985e+002	(-2.10896568013981e-001dB,-1.28369187810495e+001°)
1.46162231481071e+002	(-2.11851325416874e-001dB,-1.28657264946956e+001°)
1.46498833233203e+002	(-2.12810326196784e-001dB,-1.28945955000330e+001°)
1.46836210156448e+002	(-2.13773588511863e-001dB,-1.29235259052074e+001°)
1.47174364035972e+002	(-2.14741130591808e-001dB,-1.29525178184066e+001°)
1.47513296661053e+002	(-2.15712970738073e-001dB,-1.29815713478595e+001°)
1.47853009825089e+002	(-2.16689127324127e-001dB,-1.30106866018349e+001°)
1.48193505325609e+002	(-2.17669618795660e-001dB,-1.30398636886402e+001°)
1.48534784964281e+002	(-2.18654463670799e-001dB,-1.30691027166208e+001°)
1.48876850546922e+002	(-2.19643680540376e-001dB,-1.30984037941583e+001°)
1.49219703883507e+002	(-2.20637288068131e-001dB,-1.31277670296698e+001°)
1.49563346788182e+002	(-2.21635304990935e-001dB,-1.31571925316066e+001°)
1.49907781079269e+002	(-2.22637750119043e-001dB,-1.31866804084531e+001°)
1.50253008579275e+002	(-2.23644642336315e-001dB,-1.32162307687257e+001°)
1.50599031114909e+002	(-2.24656000600429e-001dB,-1.32458437209711e+001°)
1.50945850517084e+002	(-2.25671843943142e-001dB,-1.32755193737659e+001°)
1.51293468620929e+002	(-2.26692191470493e-001dB,-1.33052578357149e+001°)
1.51641887265801e+002	(-2.27717062363050e-001dB,-1.33350592154500e+001°)
